date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated,daily_vaccinations
2021-02-04,Oklahoma,484384,700225,382044,99354,17304
2021-02-05,Oklahoma,510693,700225,393313,114208,17715
2021-02-06,Oklahoma,541252,734625,406359,131556,18707
2021-02-07,Oklahoma,573746,734625,424612,145610,19394
2021-02-08,Oklahoma,586054,734625,431499,151019,20353
2021-02-09,Oklahoma,588207,750525,432422,152243,20362
2021-02-10,Oklahoma,606406,779400,440614,162188,20567
2021-02-11,Oklahoma,628361,815475,452166,172509,20568
2021-02-12,Oklahoma,640353,815675,458056,178566,18523
2021-02-13,Oklahoma,660835,815675,468199,188852,17083
2021-02-14,Oklahoma,682354,816650,477378,201044,15515
2021-02-15,Oklahoma,,,,,14633
2021-02-16,Oklahoma,694616,816650,484478,206173,15201
2021-02-17,Oklahoma,696437,816650,485563,206905,12862
2021-02-18,Oklahoma,700440,816650,487252,209203,10297
2021-02-19,Oklahoma,813518,1061775,565691,240890,24738
2021-02-20,Oklahoma,830903,1061775,572876,251032,24295
2021-02-21,Oklahoma,865961,1061775,584493,274345,26230
2021-02-22,Oklahoma,891227,1061775,594361,289719,28963
2021-02-23,Oklahoma,906583,1173350,600293,299132,30281
2021-02-24,Oklahoma,935457,1271050,617842,310347,34146
2021-02-25,Oklahoma,967522,1334690,634889,325335,38155
2021-02-26,Oklahoma,1006064,1385540,651825,346826,27507
2021-02-27,Oklahoma,1046995,1399890,670674,368852,30870
2021-02-28,Oklahoma,1095362,1399890,693310,394484,32772
2021-03-01,Oklahoma,1119049,1399890,709513,401951,32546
2021-03-02,Oklahoma,1124662,1408880,713785,403289,31154
2021-03-03,Oklahoma,1147833,1551080,726784,413355,30339
2021-03-04,Oklahoma,1181414,1635550,745587,427987,30556
2021-03-05,Oklahoma,1213040,1731720,767445,437663,29568
2021-03-06,Oklahoma,1246152,1741270,788330,449798,28451
2021-03-07,Oklahoma,1278427,1741270,809717,460618,26152
2021-01-12,Oregon,104610,321425,99594,4813,
2021-01-13,Oregon,115075,325325,107843,7014,10465
2021-01-14,Oregon,129796,335075,119980,,12593
2021-01-15,Oregon,146153,335075,133091,12795,13848
2021-01-16,Oregon,,,,,14809
2021-01-17,Oregon,,,,,15386
2021-01-18,Oregon,,,,,15771
2021-01-19,Oregon,216928,335075,192550,23866,16045
2021-01-20,Oregon,216928,431450,192550,23866,14550
2021-01-21,Oregon,216928,479325,192550,23866,12447
2021-01-22,Oregon,253705,487700,218413,34536,15365
2021-01-23,Oregon,270463,492450,231606,37983,15231
2021-01-24,Oregon,285922,492450,244669,40348,14912
2021-01-25,Oregon,300676,492450,257296,42426,14492
2021-01-26,Oregon,308066,589200,263167,43942,13020
2021-01-27,Oregon,325488,599900,276200,48261,15509
2021-01-28,Oregon,340383,606725,285528,53662,17636
2021-01-29,Oregon,359391,614525,299508,58664,15098
2021-01-30,Oregon,382392,665325,314964,66188,15990
2021-01-31,Oregon,407890,665325,331692,74927,17424
2021-02-01,Oregon,423627,665325,342827,79522,17564
2021-02-02,Oregon,438302,684000,353035,83898,18605
2021-02-03,Oregon,454269,706575,361249,91240,18397
2021-02-04,Oregon,471983,706575,369704,100414,18800
2021-02-05,Oregon,487153,733875,378078,107146,18252
2021-02-06,Oregon,509875,734950,389513,118378,18212
2021-02-07,Oregon,532746,734950,400019,130687,17837
2021-02-08,Oregon,554440,734950,412660,139700,18688
2021-02-09,Oregon,572695,801125,425086,145517,19199
2021-02-10,Oregon,589035,831350,434561,152361,19252
2021-02-11,Oregon,589035,840475,434561,152361,16722
2021-02-12,Oregon,589035,840575,434561,152361,14555
2021-02-13,Oregon,650929,841550,466801,181841,20151
2021-02-14,Oregon,671315,841550,475841,193105,19796
2021-02-15,Oregon,,,,,17689
2021-02-16,Oregon,685214,862025,483103,199679,16074
2021-02-17,Oregon,692781,878600,487286,202959,14821
2021-02-18,Oregon,708570,878600,496092,209930,17076
2021-02-19,Oregon,767637,922300,529837,234021,25515
2021-02-20,Oregon,794779,924575,541691,249241,20550
2021-02-21,Oregon,821720,924575,552058,265789,21486
2021-02-22,Oregon,844210,924575,560544,279756,23706
2021-02-23,Oregon,864960,1092385,568729,292195,25678
2021-02-24,Oregon,865750,1133695,569406,292308,24710
2021-02-25,Oregon,889531,1170595,580233,305172,25852
2021-02-26,Oregon,927860,1177945,597818,325641,22889
2021-02-27,Oregon,960674,1241415,617927,338259,23699
2021-02-28,Oregon,994403,1241415,633952,355818,24669
2021-03-01,Oregon,1024055,1241415,652299,367112,25692
2021-03-02,Oregon,1038342,1293095,660735,372950,24769
2021-03-03,Oregon,1050060,1335165,667785,377528,26330
2021-03-04,Oregon,1073041,1363665,679526,388626,26216
2021-03-05,Oregon,1097974,1405845,692137,400819,24302
2021-03-06,Oregon,1137864,1420125,719910,412573,25313
2021-03-07,Oregon,1172840,1420125,743899,423219,25491
2021-01-12,Pennsylvania,341948,974725,266288,10591,
2021-01-13,Pennsylvania,379944,1017475,285938,18051,37996
2021-01-14,Pennsylvania,410414,1065300,353821,,34233
2021-01-15,Pennsylvania,448151,1075350,380727,66941,35401
2021-01-16,Pennsylvania,,,,,32567
2021-01-17,Pennsylvania,,,,,30867
2021-01-18,Pennsylvania,,,,,29734
2021-01-19,Pennsylvania,544416,1075350,464339,79526,28924
2021-01-20,Pennsylvania,568660,1223250,482791,85290,26959
2021-01-21,Pennsylvania,605428,1344375,508391,96395,27859
2021-01-22,Pennsylvania,652886,1465850,539431,112692,29248
2021-01-23,Pennsylvania,695870,1564125,572228,122849,31950
2021-01-24,Pennsylvania,744591,1564125,611359,131908,35472
2021-01-25,Pennsylvania,776799,1564125,639526,135939,36636
2021-01-26,Pennsylvania,800354,1636675,657711,141304,36563
2021-01-27,Pennsylvania,851980,1817925,693731,156798,40474
2021-01-28,Pennsylvania,856371,1915350,695656,159259,35849
2021-01-29,Pennsylvania,972742,1973775,777260,193432,45694
2021-01-30,Pennsylvania,1032426,1976925,819889,209964,48079
2021-01-31,Pennsylvania,1088172,1976925,862021,223489,49083
2021-02-01,Pennsylvania,1134185,1976925,900237,231261,51055
2021-02-02,Pennsylvania,1155945,1987200,916235,236995,50799
2021-02-03,Pennsylvania,1158091,2143150,917497,237876,43730
2021-02-04,Pennsylvania,1218735,2203850,958587,257255,51766
2021-02-05,Pennsylvania,1271529,2292500,993076,275444,42684
2021-02-06,Pennsylvania,1338491,2292500,1036395,298741,43724
2021-02-07,Pennsylvania,1407839,2292500,1082700,321336,45667
2021-02-08,Pennsylvania,1441358,2292500,1108626,328907,43882
